Tweet Id,Labels,Targets
1497851905917161474,Non-Hate,
1487386759222620160,Non-Hate,
1481942513498075137,Non-Hate,
1491760091648782336,Non-Hate,
1482595945103699970,Non-Hate,
1479762707351883777,Non-Hate,
1487002260165246976,Non-Hate,
1491753764285345797,Non-Hate,
1501592487671918592,Non-Hate,
1497760901067272192,Non-Hate,
1500705806643257346,Non-Hate,
1485903569081757696,Non-Hate,
1465333106651451392,Hate,Organisation
1481555051835715585,Non-Hate,
1487614540988973059,Non-Hate,
1484158860835581956,Non-Hate,
1491465357001117696,Non-Hate,
1488104792929226753,Non-Hate,
1481636658718343169,Non-Hate,
1489272505546149893,Non-Hate,
1499288264821579776,Non-Hate,
1483065200664547329,Non-Hate,
1491662260670185472,Non-Hate,
1483000216001605635,Non-Hate,
1487410309212286977,Non-Hate,
1501539939837624324,Non-Hate,
1487377699043966976,Non-Hate,
1491460543202619397,Non-Hate,
1488017070193188867,Non-Hate,
1483042262305357826,Non-Hate,
1491698131922083849,Non-Hate,
1482724777718861824,Non-Hate,
1498146512232411136,Non-Hate,
1501247174679482368,Non-Hate,
1491436676383899648,Non-Hate,
1491690389064982530,Non-Hate,
1479767731549270016,Non-Hate,
1500695507269652482,Non-Hate,
1496049374224334849,Non-Hate,
1485866303173042178,Non-Hate,
1484165963532877827,Non-Hate,
1483729225027059712,Non-Hate,
1480166461091893249,Non-Hate,
1491865114718662658,Non-Hate,
1501516830074019844,Non-Hate,
1497247732091682816,Non-Hate,
1487274769078620162,Non-Hate,
1487248861110607878,Non-Hate,
1484484438406819846,Non-Hate,
1495261092506849286,Non-Hate,
1488826364530618370,Non-Hate,
1488346285132238848,Non-Hate,
1491600932953784320,Non-Hate,
1496461320648290308,Non-Hate,
1488809545187340289,Non-Hate,
1493165985716584451,Non-Hate,
1489928169818066953,Non-Hate,
1497212775503859719,Non-Hate,
1480814780961099776,Non-Hate,
1484085854130044928,Non-Hate,
1492520985609715716,Non-Hate,
1485173552969965569,Non-Hate,
1484917894547144707,Non-Hate,
1483714893249658883,Non-Hate,
1493968264858202112,Non-Hate,
1500834023936905221,Non-Hate,
1494273653076561922,Non-Hate,
1493589862276276228,Non-Hate,
1492161138498232323,Hate,Organisation
1479775678048260096,Non-Hate,
1490170071465218054,Non-Hate,
1493467391078338560,Non-Hate,
1484888308152868865,Non-Hate,
1495010962574766082,Non-Hate,
1483788029710184448,Non-Hate,
1481585706116198403,Non-Hate,
1479811552949653506,Non-Hate,
1493154701298528257,Non-Hate,
1496780407223701507,Non-Hate,
1486229653211983872,Non-Hate,
1498864565391859715,Non-Hate,
1479770627896532997,Non-Hate,
1486701537883795457,Non-Hate,
1481631135042252800,Non-Hate,
1496313912433983489,Non-Hate,
1494566484420427782,Non-Hate,
1484876904704651272,Non-Hate,
1491800719741288461,Non-Hate,
1490654317447041028,Non-Hate,
1494998746307784709,Non-Hate,
1489869979231129606,Non-Hate,
1485618921718030336,Non-Hate,
1492149458636734467,Non-Hate,
1484847918448521216,Non-Hate,
1498959817687572483,Non-Hate,
1484516527173156868,Non-Hate,
1493083894345715715,Non-Hate,
1495006884876587020,Non-Hate,
1483334844373663744,Non-Hate,
1479758590663532545,Non-Hate,
1491620001740214272,Non-Hate,
1501206590384656384,Non-Hate,
1498158984901308418,Non-Hate,
1484091545905242114,Non-Hate,
1485899208813330433,Non-Hate,
1495389333838127106,Non-Hate,
1483101203232100352,Non-Hate,
1483850428215599104,Non-Hate,
1491592762193367041,Non-Hate,
1480913510393593863,Non-Hate,
1479766976343904258,Non-Hate,
1479710313201082370,Non-Hate,
1491999417473601538,Non-Hate,
1489157879588605954,Non-Hate,
1496158780983476227,Non-Hate,
1491723810483032066,Non-Hate,
1495418671476342787,Non-Hate,
1492934933781770243,Non-Hate,
1493108365287112709,Non-Hate,
1484146401538117633,Non-Hate,
1490201264696999936,Non-Hate,
